Source,Target
100000,100001
100000,100003
100000,100004
100000,100009
100000,100010
100000,100012
100000,110000
100000,110100
100000,110200
100000,110300
100000,110400
100000,110500
100000,110600
100000,110700
100000,110800
100000,110900
100000,111000
100000,111100
100000,111200
100001,100002
100001,100004
100001,100005
100001,100010
100001,100011
100001,100000
100001,110001
100001,110101
100001,110201
100001,110301
100001,110401
100001,110501
100001,110601
100001,110701
100001,110801
100001,110901
100001,111001
100001,111101
100001,111201
100002,100003
100002,100005
100002,100006
100002,100011
100002,100012
100002,100001
100002,110002
100002,110102
100002,110202
100002,110302
100002,110402
100002,110502
100002,110602
100002,110702
100002,110802
100002,110902
100002,111002
100002,111102
100002,111202
100003,100004
100003,100006
100003,100007
100003,100012
100003,100000
100003,100002
100003,110003
100003,110103
100003,110203
100003,110303
100003,110403
100003,110503
100003,110603
100003,110703
100003,110803
100003,110903
100003,111003
100003,111103
100003,111203
100004,100005
100004,100007
100004,100008
100004,100000
100004,100001
100004,100003
100004,110004
100004,110104
100004,110204
100004,110304
100004,110404
100004,110504
100004,110604
100004,110704
100004,110804
100004,110904
100004,111004
100004,111104
100004,111204
100005,100006
100005,100008
100005,100009
100005,100001
100005,100002
100005,100004
100005,110005
100005,110105
100005,110205
100005,110305
100005,110405
100005,110505
100005,110605
100005,110705
100005,110805
100005,110905
100005,111005
100005,111105
100005,111205
100006,100007
100006,100009
100006,100010
100006,100002
100006,100003
100006,100005
100006,110006
100006,110106
100006,110206
100006,110306
100006,110406
100006,110506
100006,110606
100006,110706
100006,110806
100006,110906
100006,111006
100006,111106
100006,111206
100007,100008
100007,100010
100007,100011
100007,100003
100007,100004
100007,100006
100007,110007
100007,110107
100007,110207
100007,110307
100007,110407
100007,110507
100007,110607
100007,110707
100007,110807
100007,110907
100007,111007
100007,111107
100007,111207
100008,100009
100008,100011
100008,100012
100008,100004
100008,100005
100008,100007
100008,110008
100008,110108
100008,110208
100008,110308
100008,110408
100008,110508
100008,110608
100008,110708
100008,110808
100008,110908
100008,111008
100008,111108
100008,111208
100009,100010
100009,100012
100009,100000
100009,100005
100009,100006
100009,100008
100009,110009
100009,110109
100009,110209
100009,110309
100009,110409
100009,110509
100009,110609
100009,110709
100009,110809
100009,110909
100009,111009
100009,111109
100009,111209
100010,100011
100010,100000
100010,100001
100010,100006
100010,100007
100010,100009
100010,110010
100010,110110
100010,110210
100010,110310
100010,110410
100010,110510
100010,110610
100010,110710
100010,110810
100010,110910
100010,111010
100010,111110
100010,111210
100011,100012
100011,100001
100011,100002
100011,100007
100011,100008
100011,100010
100011,110011
100011,110111
100011,110211
100011,110311
100011,110411
100011,110511
100011,110611
100011,110711
100011,110811
100011,110911
100011,111011
100011,111111
100011,111211
100012,100000
100012,100002
100012,100003
100012,100008
100012,100009
100012,100011
100012,110012
100012,110112
100012,110212
100012,110312
100012,110412
100012,110512
100012,110612
100012,110712
100012,110812
100012,110912
100012,111012
100012,111112
100012,111212
100100,100101
100100,100103
100100,100104
100100,100109
100100,100110
100100,100112
100100,110000
100100,110101
100100,110202
100100,110303
100100,110404
100100,110505
100100,110606
100100,110707
100100,110808
100100,110909
100100,111010
100100,111111
100100,111212
100101,100102
100101,100104
100101,100105
100101,100110
100101,100111
100101,100100
100101,110001
100101,110102
100101,110203
100101,110304
100101,110405
100101,110506
100101,110607
100101,110708
100101,110809
100101,110910
100101,111011
100101,111112
100101,111200
100102,100103
100102,100105
100102,100106
100102,100111
100102,100112
100102,100101
100102,110002
100102,110103
100102,110204
100102,110305
100102,110406
100102,110507
100102,110608
100102,110709
100102,110810
100102,110911
100102,111012
100102,111100
100102,111201
100103,100104
100103,100106
100103,100107
100103,100112
100103,100100
100103,100102
100103,110003
100103,110104
100103,110205
100103,110306
100103,110407
100103,110508
100103,110609
100103,110710
100103,110811
100103,110912
100103,111000
100103,111101
100103,111202
100104,100105
100104,100107
100104,100108
100104,100100
100104,100101
100104,100103
100104,110004
100104,110105
100104,110206
100104,110307
100104,110408
100104,110509
100104,110610
100104,110711
100104,110812
100104,110900
100104,111001
100104,111102
100104,111203
100105,100106
100105,100108
100105,100109
100105,100101
100105,100102
100105,100104
100105,110005
100105,110106
100105,110207
100105,110308
100105,110409
100105,110510
100105,110611
100105,110712
100105,110800
100105,110901
100105,111002
100105,111103
100105,111204
100106,100107
100106,100109
100106,100110
100106,100102
100106,100103
100106,100105
100106,110006
100106,110107
100106,110208
100106,110309
100106,110410
100106,110511
100106,110612
100106,110700
100106,110801
100106,110902
100106,111003
100106,111104
100106,111205
100107,100108
100107,100110
100107,100111
100107,100103
100107,100104
100107,100106
100107,110007
100107,110108
100107,110209
100107,110310
100107,110411
100107,110512
100107,110600
100107,110701
100107,110802
100107,110903
100107,111004
100107,111105
100107,111206
100108,100109
100108,100111
100108,100112
100108,100104
100108,100105
100108,100107
100108,110008
